Date,Daily_Return,Cumulative_Return,Benchmark_Return
1996-01-02,0.0,0.0,
1996-01-03,0.00041288441059891427,0.00041288441059883496,0.000950537067700763
1996-01-04,-0.001811457022475576,-0.0013993205342417436,-0.004881298401972933
1996-01-05,-0.000631285763376697,-0.0020297229264867322,-0.006476179051409958
1996-01-08,0.0005958799464994241,-0.0014350524511762552,-0.003656917770235024
1996-01-09,-0.0035446256962465257,-0.004974591423628882,-0.018172101584654654
1996-01-10,-0.00774149144802791,-0.012677572114693336,-0.03584489343208108
1996-01-11,0.0024452146988684685,-0.010263356801505696,-0.02906252089470651
1996-01-12,7.675775127454279e-05,-0.01018738684241971,-0.03048021443376836
1996-01-15,-0.001023359793469155,-0.011200321273793779,-0.03368610152959095
1996-01-16,0.005806916232894123,-0.005458444368317994,-0.019799233827989093
1996-01-17,-0.00032378463985788947,-0.005780461647731938,-0.023134028971371068
1996-01-18,0.0007663597666507564,-0.0050185317943206575,-0.020121454782872306
1996-01-19,0.0016425338989886373,-0.003384241003927313,-0.014337898376014624
1996-01-22,0.0001774924933468455,-0.0032073491879542892,-0.011808606455825599
1996-01-23,-0.0005847617808624014,-0.0037902354335936916,-0.012791395117423776
1996-01-24,0.004414698240952862,0.0006077300616575965,-0.0012404081006568424
1996-01-25,-0.0019410373979636634,-0.001334486963083692,-0.00596064518920314
1996-01-26,0.00265829210317691,0.001320257683937287,0.001433819336010167
1996-01-29,0.0021973152720581265,0.003520473978367189,0.005622396765400772
1996-01-30,0.00398108398479808,0.007515573265739484,0.015175751521134373
1996-01-31,0.004473882109176699,0.012023079163689943,0.02463235149517584
1996-02-01,0.0005983142681720935,0.01262858701167291,0.028563211157478063
1996-02-02,-0.001940754169705023,0.01066332385906743,0.024342382134190155
1996-02-05,0.0028081398520127983,0.01350140781576381,0.03334785310578914
1996-02-06,0.0033929464978845283,0.016940163868013336,0.041241824024290885
1996-02-07,0.0021641401933479064,0.01914096495086981,0.04704140790006717
1996-02-08,0.0044139920962868485,0.023639445115165136,0.05693301107960225
1996-02-09,0.0009232745021451065,0.024584545314229933,0.05741629334791187
1996-02-12,0.0028621928514543904,0.02751710387553885,0.06560023362739953
1996-02-13,-0.0003965021193574056,0.027109691166176342,0.06408588363467582
1996-02-14,-0.0028165251334287813,0.024216810906218633,0.05614363365335828
1996-02-15,-0.0021799040303662233,0.021984116552155264,0.049280730459270616
1996-02-16,-0.0028802610129521106,0.019040535545393755,0.043899925664009354
1996-02-20,-0.005276569529876532,0.013663497305825834,0.0320913192081842
1996-02-21,0.0036648119313228344,0.01737838338509845,0.04409323857133329
1996-02-22,0.0067775143439267466,0.024273679971692053,0.061427683666927635
1996-02-23,0.0008108266773705702,0.025104188396341653,0.06178215621570815
1996-02-26,-0.004775320179717607,0.020208987679179558,0.04789528851410618
1996-02-27,-0.0015858732368032485,0.018591065549673047,0.04270779662616864
1996-02-28,-0.0013293975455052883,0.01723695308725759,0.0386964063071531
1996-02-29,-0.003039177126509339,0.01414538980719482,0.03173684665940346
1996-03-01,0.003009609581753264,0.01719757148964951,0.0380842159912842
1996-03-04,0.0034598564207404827,0.02071692903852962,0.048459101439128904
1996-03-05,0.0021391951341600455,0.022900441726483534,0.056481882077159984
1996-03-06,-0.002954928738567511,0.019877843814532614,0.05037620304344914
1996-03-07,0.0007347173389058398,0.02062716574994905,0.05303440301119755
1996-03-08,-0.0134283050075461,0.006921872869271484,0.020572583785314347
1996-03-11,0.002232547898503819,0.009169874180503301,0.031076377280718548
1996-03-12,-0.0033056620606861046,0.005833899614637428,0.02635614019217214
1996-03-13,0.0007664017912635572,0.0066047725170157445,0.028708146673956048
1996-03-14,0.0008814778051461115,0.00749207228254356,0.03244569342893455
1996-03-15,0.0005061280706120013,0.008001992301244876,0.03334785310578914
1996-03-18,0.007413447124037818,0.015474761772094947,0.051423396564811874
1996-03-19,-0.0007421142157792625,0.014721163515618807,0.04987679497819064
1996-03-20,0.0006926685468571408,0.015424028949416302,0.04712193855678026
1996-03-21,0.00032775677702720317,0.015756841056460802,0.04584927886222645
1996-03-22,0.0008172024305748609,0.016586920015845052,0.04815300628119412
1996-03-25,0.0004442663726947326,0.017038555399329303,0.04721859501044201
1996-03-26,0.0029500813896935377,0.020038901914213536,0.05193883209898842
1996-03-27,-0.002324681727389739,0.01766763611770683,0.04539814985978374
1996-03-28,-0.0009531689187431995,0.016697626957348666,0.0454465272506297
1996-03-29,-0.002480983992603295,0.014175216419549663,0.0399046611419418
1996-04-01,0.003689837013110965,0.017917357670874212,0.05316321273072622
1996-04-02,0.0014402147208621336,0.019383377234012844,0.05562809979115069
1996-04-03,0.00029925097685242895,0.0196884287054373,0.05662691592166724
1996-04-04,-0.00024070862081204957,0.019442980910105545,0.05659466432776994
1996-04-08,-0.008135453992594311,0.011149349440838119,0.03787477728701094
1996-04-09,-0.002657816098972309,0.008461900421428803,0.03457223373752649
1996-04-10,-0.0063916816487951545,0.0020161329989960564,0.020572583785313903
1996-04-11,-0.0018165446165462912,0.0001959259869042107,0.01683503703033562
1996-04-12,0.004722051060843759,0.004918902220262256,0.025743949876302796
1996-04-15,0.0034220000231126777,0.00835773472688639,0.03505551600583634
1996-04-16,0.00024417594309107736,0.008603951427736511,0.03909915791874918
1996-04-17,-0.0017363506871362554,0.006852661263626603,0.0336378224667746
1996-04-18,0.000990569481724087,0.00785001878246705,0.036859835359545956
1996-04-19,0.0009478871039634129,0.00880534681800027,0.039211940169359805
1996-04-22,0.002855319770892401,0.011685808669751774,0.043754990147530926
1996-04-23,0.0013790646943175379,0.013080988850230346,0.04969960786781513
1996-04-24,-0.0017252834189012936,0.011333137018162853,0.04742803371471438
1996-04-25,0.0017128007269542527,0.013065349150440442,0.05177777078556156
1996-04-26,0.00017397587209401404,0.013241598078047145,0.052728307853262324
1996-04-29,0.00045437719086258193,0.013701991949046866,0.05385593370330821
1996-04-30,0.000702139657090889,0.01441375231806652,0.053872059500256864
1996-05-01,0.00040438763195265007,0.014823968693186584,0.05453262720697172
1996-05-02,-0.007988161451515343,0.0067173909863977865,0.036489335341846285
1996-05-03,-0.0019344494876491428,0.004769947045196732,0.03367007406067146
1996-05-06,-0.0006554670041187015,0.004111353498178483,0.032349036975271694
1996-05-07,-0.0006042269000980786,0.0035046424077009863,0.028240990202594407
1996-05-08,0.005418089160309654,0.008941720033050604,0.03872865790104996
1996-05-09,-0.00019504562443271173,0.00874493036525048,0.03980800468827983
1996-05-10,0.004388675558477252,0.013171984585882202,0.05052123688795662
1996-05-13,0.005034558955575008,0.018272858674416748,0.06569689008106128
1996-05-14,0.00198543238252857,0.020294570582278793,0.07228585138308175
1996-05-15,-0.0005260695557911167,0.019757824670756374,0.07199588202209606
1996-05-16,-0.00010209338861596687,0.01965371413886796,0.0710775965482926
1996-05-17,0.002528002373576593,0.022231401148437246,0.07761827878749727
1996-05-20,0.001806130623340411,0.02407768458619164,0.0844490287157178
1996-05-21,0.0003223233594383047,0.024407768745813296,0.08382071260290003
1996-05-22,0.003219557837839156,0.02770590880682211,0.09293896582510963
1996-05-23,-0.0010920210434491404,0.026583632327928042,0.08904035775670494
1996-05-24,0.0018180260288396194,0.028449988092281053,0.09308399966961778
1996-05-28,-0.0038796729653081305,0.024459938477307874,0.08296683198886146
1996-05-29,-0.00259791550223233,0.021798478121721754,0.07603952393500912
1996-05-30,0.002975096520633669,0.024838427218770498,0.0821130497028526
1996-05-31,-0.001392573727212736,0.023411264150387634,0.07795662553932914
1996-06-03,-0.0006527016309844472,0.022743281949108907,0.0756367723234126
1996-06-04,0.0034648857177059147,0.02628697053961404,0.08349849164801704
1996-06-05,0.0036983986456685805,0.030082588881525263,0.09297121741900716
1996-06-06,-0.002592309161034462,0.027412296349745624,0.08425571580839408
1996-06-07,-0.0014561942554498458,0.025916184465822667,0.0847067464828064
1996-06-10,-0.0003424311479311125,0.02556487880909497,0.08285404973825083
1996-06-11,-0.0004524652295254209,0.025100846360811335,0.0809369481339306
1996-06-12,-0.0010742964518756356,0.023999584158751253,0.07782771749176987
1996-06-13,-9.64177740541684e-05,0.023900852398214267,0.07602339813806025
1996-06-14,-0.0014844545260141889,0.022380918143682038,0.07268860299467828
1996-06-17,-0.0008022979938308468,0.021560663984124373,0.07157700461355088
1996-06-18,-0.0022244074509200286,0.01928829683159128,0.06658292396096743
1996-06-19,0.0012421694319302914,0.020554425596239767,0.0664218626475408
1996-06-20,-0.0003517263206197211,0.020195469743132577,0.06664732882073188
1996-06-21,0.0026641722274705027,0.022913446180213404,0.07428358197214524
1996-06-24,0.0015187901116017113,0.024467037007296133,0.07752162233383508
1996-06-25,0.0013035693238031833,0.025802500809986473,0.07692555781491484
1996-06-26,-0.002329450456443204,0.023412944706254102,0.07033659651289437
1996-06-27,0.002557762596609553,0.02603059205710978,0.07703834006552546
1996-06-28,0.0023842500062792407,0.028476905502664573,0.08038926100585608
1996-07-01,0.002396322942575027,0.030941468307229103,0.08884704484938077
1996-07-02,-0.0006290299725846826,0.03029297522368335,0.08519002875111581
1996-07-03,-0.0006832627566360195,0.02958901440528927,0.08324077388092843
1996-07-05,-0.009762188411315854,0.019537972460443864,0.05914008204490817
1996-07-08,-0.003880058786994929,0.01558210519172376,0.051246111126406424
1996-07-09,0.002233198309291135,0.01785010143198429,0.05480647077100964
1996-07-10,0.0010415355859773887,0.01891022853381652,0.05691688528265382
1996-07-11,-0.0059324651633302534,0.012865579098478852,0.0401785047059795
1996-07-12,0.0007019449626780195,0.013576554989596978,0.04101625952306964
1996-07-15,-0.007551418271744958,0.0059226144724362495,0.014611840268081489
1996-07-16,-0.0006504005750850458,0.005268361825492285,0.012308112849113595
1996-07-17,0.0015945667593832789,0.006871329339518839,0.021490869259117806
1996-07-18,0.00685964529365577,0.013778109515139692,0.03677930470283286
1996-07-19,-0.0026047097236565455,0.011137511815655365,0.028998116034941734
1996-07-22,-0.0026234017421705143,0.008484891905584213,0.02100758699080818
1996-07-23,-0.0042780243589719425,0.004170568972357014,0.00989160317953508
1996-07-24,0.00010399207339251528,0.004274994751864103,0.009537228958784727
1996-07-25,0.0018827364302289123,0.0061657798704515265,0.016818911233387412
1996-07-26,0.002427256290042308,0.008608002088467348,0.024439038587852124
1996-07-29,-0.0027276918959242866,0.005856830215006381,0.01640003382484223
1996-07-30,0.0017412425387489249,0.007608270915667736,0.023407970863438043
1996-07-31,0.003467662383410878,0.011102316213935648,0.030963595030107927
1996-08-01,0.007922533980686782,0.019112808672091752,0.04718644174457509
1996-08-02,0.00791313785700415,0.027177188818952702,0.06727564493354987
1996-08-05,-0.0015590606136079484,0.025575757320668524,0.06363475463223356
1996-08-06,0.0010703358666573548,0.02667346783770297,0.06709845782317458
1996-08-07,0.0011369224804956186,0.027840715983415976,0.06996599816716542
1996-08-08,-0.0006685551720094182,0.0271535477567435,0.06743680457500645
1996-08-09,-0.0008995497334915121,0.026229572056604145,0.0666473288207321
1996-08-12,0.0038869732174014963,0.03021849891809336,0.07255979327514916
1996-08-13,-0.0032459884321427023,0.026874421588025665,0.06358647556941732
1996-08-14,0.00033069263989035245,0.027214001401336452,0.06656679816401856
1996-08-15,-0.00017763730089729533,0.027031529878683624,0.06693739650974773
1996-08-16,0.002024807727060329,0.029111071256316512,0.07165763359829413
1996-08-19,0.0014069244632601702,0.030558952797878902,0.07386470456360028
1996-08-20,6.617004720423744e-05,0.030627144932432238,0.07243088522758989
1996-08-21,-0.0008494298312878435,0.029751699490591532,0.07143206909707311
1996-08-22,0.0034149995302828555,0.03326830106065981,0.0804697916625694
1996-08-23,-0.002883561753952885,0.030288808106149423,0.0745896771300798
1996-08-26,-0.0011420393566383504,0.029112177738588096,0.06951496749275288
1996-08-27,0.001168348350431106,0.03031453925385752,0.07357473520261437
1996-08-28,-0.001247462203892198,0.02902926080801782,0.07101319168852793
1996-08-29,-0.00515124242773663,0.02372848162036112,0.059075677185143505
1996-08-30,-0.0052885043933842924,0.018314489047679183,0.05036007724650027
1996-09-03,0.0017428062212187256,0.0200892138743487,0.054758093380163464
1996-09-04,0.0002503378364847808,0.02034458080117152,0.05619191271617385
1996-09-05,-0.0038786172200686517,0.01638705473967228,0.04625203047382276
1996-09-06,0.0038347394972208116,0.020284634322946582,0.056304694966784474
1996-09-09,0.005321192058980795,0.025713764817006046,0.06932165458542916
1996-09-10,-0.0005561639493618655,0.025143299798650487,0.06940218524214248
1996-09-11,0.0018269004925770308,0.027016134598014663,0.07499242874167633
1996-09-12,0.002975205972868405,0.030071719135903008,0.08122701582294645
1996-09-13,0.006307673109245179,0.03656907481929039,0.0963542916252047
1996-09-16,0.0012750827405783125,0.037890786156009604,0.1018961577338926
1996-09-17,-0.0008836151666139536,0.03697369011607332,0.10022074642774248
1996-09-18,-0.0013046031035580062,0.03562085102164003,0.09785251582097976
1996-09-19,0.0010317541376778055,0.03668935711974708,0.10031740288140445
1996-09-20,0.0019706040944925986,0.03873226141160413,0.10680980605779311
1996-09-23,-3.60845056309623e-05,0.03869477927146825,0.10592367384985679
1996-09-24,0.0003948956768282697,0.03910495534934655,0.1045221061077437
1996-09-25,0.0008146487526711194,0.03995146090511614,0.10487657865652444
1996-09-26,0.0010845704665551547,0.04107936154626479,0.10492485771934024
1996-09-27,-0.00019532704538187612,0.04087601059056589,0.10545651737849604
1996-09-30,0.0010347877526528171,0.0419530963383552,0.10729308832610296
1996-10-01,0.0013344711066752952,0.04334355263992973,0.11011234960727778
1996-10-02,0.0037142512735692332,0.0472187927590928,0.11805459958859532
1996-10-03,-0.0005605265774326862,0.04663179879336443,0.11607309312451064
1996-10-04,0.006013857209668617,0.05292609298240625,0.13005661727977458
1996-10-07,0.0003954783846323927,0.05334250249279626,0.133085317265222
1996-10-08,-0.0023339573931920815,0.05088404597153984,0.1287355801943746
1996-10-09,-0.0023649497931846966,0.04839875796435833,0.12245261572225852
1996-10-10,-0.0018976613195121977,0.04640925219394476,0.11902116412521457
1996-10-11,0.003625818173689526,0.050203341877666396,0.12876773346024195
1996-10-14,0.0031052468166759845,0.05346448246189439,0.13340743989207504
1996-10-15,-0.0011579287977096073,0.05224464560028763,0.13184481083653554
1996-10-16,0.0012413661457082992,0.05355086648033858,0.13480900763418835
1996-10-17,0.002585276003833265,0.056274586254267955,0.1389654317977118
1996-10-18,0.0016792227615702504,0.05804830658197435,0.14513561401921748
1996-10-21,-0.00012483208238348205,0.05791622820860143,0.1435728866356476
1996-10-22,-0.001968640622087306,0.055833571346984634,0.13828883662207847
