Asset,Cumulative Return (%),Annualized Return (CAGR) (%),Annualized Volatility (%),Sharpe Ratio (Rf=0%),Sharpe Ratio (Rf=3%),Beta (vs S&P 500),Max Drawdown (%)
NASDAQ-20,2527.3347059688945,19.37917593420884,24.069574978958286,0.8051316216073688,0.6804929438316869,1.0727271644675667,-47.535197199358514
MGK,919.6168664334591,13.409851023281561,21.161773723794774,0.6336827526042027,0.4919176983532571,1.012904353319528,-47.85018410335723
VGT,1675.574874705256,16.870825884578178,23.848097005012907,0.7074286003211033,0.5816323995018348,1.0980156323184203,-51.874394310967396
S&P 500,398.4332213953744,9.095238906038317,19.92411792474255,0.4564939306418927,0.3059226475702099,1.0000000000000007,-54.2418255270278
