Quarter,Sell_Date,Ticker,Shares,Buy_Date,Buy_Price_USD,Sell_Price_USD,Holding_Days,Tax_Term,Tax_Rate_Pct,Estimated_Tax_USD,Gain_Loss_USD,Gain_Loss_Pct
1997Q3,1997-07-01,MSFT,21419.154676034446,1997-01-02,6.205007553100586,9.497559547424316,180,Short-Term,49.0,34556.603418199775,70523.68044530567,53.062820087599604
1997Q3,1997-07-01,SUNW,2441.4409747136633,1997-01-02,26.749864608389256,36.56254565777337,180,Short-Term,49.0,11738.969977023695,23957.081585762644,36.6831054775009
1997Q3,1997-07-01,ORCL,3186.7747571867562,1997-01-02,3.718197822570801,4.299167156219482,180,Short-Term,49.0,907.1950195139023,1851.418407171229,15.62502484730609
1997Q3,1997-07-01,AAPL,43692.47466976078,1997-01-02,0.15716098248958588,0.09869375824928284,180,Short-Term,49.0,-1251.7430799240253,-2554.577714130664,-37.202124416712216
1997Q3,1997-07-01,AMGN,337.7706638895895,1997-01-02,9.167703628540039,9.492877006530762,180,Short-Term,49.0,53.81867360394194,109.83402776314682,3.546944700289212
1997Q3,1997-07-01,ADBE,426.17427794982825,1997-01-02,4.734611511230469,4.270029544830322,180,Short-Term,49.0,-97.01651319875596,-197.99288407909378,-9.812462232606856
1997Q3,1997-07-01,ADTN,99.58239468292241,1997-01-02,13.866326332092285,7.902979850769043,180,Short-Term,49.0,-290.9837182377324,-593.8443229341477,-43.0059580201978
1998Q1,1998-01-02,NXTL,7428.257753882548,1997-01-02,13.62512115378966,26.187522425970652,365,Short-Term,49.0,45725.2097821566,93316.75465746244,92.20029040759695
1998Q1,1998-01-02,PAYX,1342.7780511492983,1997-01-02,4.620729446411133,6.695296764373779,365,Short-Term,49.0,1364.9848954940353,2785.683460191909,44.89696577179906
1998Q1,1998-01-02,WCOEQ,170.5575818396972,1997-01-02,26.499969498811467,29.937510906708315,365,Short-Term,49.0,287.28638750231016,586.2987500047146,12.97186929989117
1998Q1,1998-01-02,COST,156.32217700761726,1997-01-02,8.119316101074219,14.656405448913574,365,Short-Term,49.0,500.72709869230096,1021.892038147553,80.51280756238167
1998Q1,1998-01-02,AMAT,339.6109661297552,1997-01-02,3.183889389038086,5.600034236907959,365,Short-Term,49.0,402.0691501863138,820.5492860945179,75.88658249839003
1998Q1,1998-01-02,SBUX,934.2722614943693,1997-01-02,1.2794575691223145,1.7347612380981445,365,Short-Term,49.0,208.4350183555589,425.37758848073247,35.585679428834865
1998Q1,1998-01-02,KLAC,1431.0865300838882,1997-01-02,0.8969790935516357,1.0626002550125122,365,Short-Term,49.0,116.13892449911945,237.0182132635091,18.464327948279237
1998Q1,1998-01-02,ADBE,257.6965983531324,1997-01-02,4.734611511230469,4.997713088989258,365,Short-Term,49.0,33.222186988793226,67.8003816097821,5.556983442774846
1998Q1,1998-01-02,PCAR,435.2435686408121,1997-01-02,1.5657572746276855,2.5312893390655518,365,Short-Term,49.0,205.91839446790306,420.24162136306745,61.66550078251789
1998Q3,1998-07-01,MSFT,25282.12572661857,1997-01-02,6.205007553100586,16.629045486450195,545,Long-Term,36.1,95138.60337720496,263541.837609986,167.99396042863498
1998Q3,1998-07-01,CSCO,24942.03780383848,1997-01-02,4.496011257171631,10.142838478088379,545,Long-Term,36.1,50844.459463721745,140843.3780158497,125.5963763860564
1998Q3,1998-07-01,AAPL,123763.39031430242,1997-01-02,0.15716098248958588,0.22404788434505463,545,Long-Term,36.1,2988.4120565922667,8278.149741252817,42.55948314646159
1998Q3,1998-07-01,ORCL,7565.923109039618,1997-01-02,3.718197822570801,3.195326566696167,545,Long-Term,36.1,-1428.1173421526796,-3956.0037178744587,-14.06249158397697
1998Q3,1998-07-01,COST,355.52528261585644,1997-01-02,8.119316101074219,20.50648307800293,545,Long-Term,36.1,1589.8263255419406,4403.951040282384,152.56416701512384
1998Q3,1998-07-01,QCOM,1624.7941080176795,1997-01-02,1.4760503768920898,2.103956699371338,545,Long-Term,36.1,368.29887602763057,1020.2184931513312,42.53962685212285
1998Q3,1998-07-01,CTAS,504.48545056564814,1997-01-02,3.451033115386963,6.213494300842285,545,Long-Term,36.1,503.0973527690499,1393.6214758145427,80.04736822542975
1998Q3,1998-07-01,KLAC,3089.4541109852134,1997-01-02,0.8969790935516357,0.7280778288841248,545,Long-Term,36.1,-188.37438703842923,-521.8127064776434,-18.830011299230797
1998Q3,1998-07-01,SNPS,92.80702213462804,1997-01-02,22.875,22.375,545,Long-Term,36.1,-16.75166749530036,-46.40351106731402,-2.185792349726776
1998Q3,1998-07-01,ADTN,239.86760206692992,1997-01-02,13.866326332092285,8.377573013305664,545,Long-Term,36.1,-475.2832489860443,-1316.5740969142503,-39.58332717212508
1998Q3,1998-07-01,AMAT,201.66832844327936,1997-01-02,3.183889389038086,5.498420715332031,545,Long-Term,36.1,168.5031265968936,466.76766370330637,72.69509218073715
1998Q3,1998-07-01,ADBE,181.95404436150955,1997-01-02,4.734611511230469,5.133047103881836,545,Long-Term,36.1,26.171405267677326,72.49696750049121,8.415380896748983
1998Q3,1998-07-01,AMGN,73.70837082657165,1997-01-02,9.167703628540039,10.992854118347168,545,Long-Term,36.1,48.564921751237996,134.52886911700276,19.90848050677861
1998Q3,1998-07-01,SBUX,202.95709431778369,1997-01-02,1.2794575691223145,2.426358938217163,545,Long-Term,36.1,84.03060873194882,232.77176934057843,89.63965642734077
1998Q3,1998-07-01,PCAR,167.6685433318333,1997-01-02,1.5657572746276855,2.5353851318359375,545,Long-Term,36.1,58.68996863153888,162.57609039207446,61.92708620426595
1999Q1,1999-01-04,SUNW,8093.32238113341,1997-01-02,26.749864608389256,90.06250614983101,732,Long-Term,36.1,184979.8723853659,512409.6187960274,236.68397006235958
1999Q1,1999-01-04,CSCO,24252.72370301034,1997-01-02,4.496011257171631,15.334929466247559,732,Long-Term,36.1,94897.25717169285,262873.28856424615,241.07853804384197
1999Q1,1999-01-04,NXTL,12597.53570429986,1997-01-02,13.62512115378966,25.874958530434146,732,Long-Term,36.1,55708.712704416655,154317.76372414586,89.90626386641225
1999Q1,1999-01-04,WCOEQ,4506.026778110271,1997-01-02,26.499969498811467,69.87498485076408,732,Long-Term,36.1,70557.08202434017,195448.9806768426,163.67949160808655
1999Q1,1999-01-04,ORCL,30790.926937126962,1997-01-02,3.718197822570801,5.710090160369873,732,Long-Term,36.1,22140.928329765724,61332.21143979425,53.57144597599321
1999Q1,1999-01-04,COST,4798.917729326859,1997-01-02,8.119316101074219,23.81665802001953,732,Long-Term,36.1,27194.22113016578,75330.25243813236,193.3333020113417
1999Q1,1999-01-04,INTC,6039.161099276492,1997-01-02,9.214554786682129,17.127552032470703,732,Long-Term,36.1,17251.419317506865,47787.86514544838,85.87498179755025
1999Q1,1999-01-04,AMGN,5613.531619805953,1997-01-02,9.167703628540039,18.020736694335938,732,Long-Term,36.1,17940.53795761788,49696.781046032906,96.56761850629051
1999Q1,1999-01-04,AMAT,8871.53513598162,1997-01-02,3.183889389038086,8.004890441894531,732,Long-Term,36.1,15439.85456339834,42769.680231020335,151.41860987554477
1999Q1,1999-01-04,AAPL,190025.93257636018,1997-01-02,0.15716098248958588,0.30870944261550903,732,Long-Term,36.1,10396.127625204297,28798.137465939883,96.42880677204049
