Index,Ticker,Addition_Date,Stock_Pre_90,Index_Pre_90,Relative_Pre_90,Stock_Post_90,Index_Post_90,Relative_Post_90,Stock_Pre_180,Index_Pre_180,Relative_Pre_180,Stock_Post_180,Index_Post_180,Relative_Post_180,Stock_Pre_270,Index_Pre_270,Relative_Pre_270,Stock_Post_270,Index_Post_270,Relative_Post_270,Stock_Pre_365,Index_Pre_365,Relative_Pre_365,Stock_Post_365,Index_Post_365,Relative_Post_365
SP500,FITB,1996-03-08,0.21502623346749528,0.05303440301119755,0.16199183045629773,-0.02453935401685159,0.051576526918332144,-0.07611588093518373,0.21502623346749528,0.05303440301119755,0.16199183045629773,-0.05574948074417718,0.02435855964588507,-0.08010804039006225,0.21502623346749528,0.05303440301119755,0.16199183045629773,0.259527776573407,0.16915097412876956,0.09037680244463742,,,,0.5520418470641917,0.2577262368959712,0.2943156101682205
SP500,AON,1996-04-23,0.05710745503499459,0.04505128022111893,0.012056174813875664,-0.08884703948111661,-0.02522411647720202,-0.06362292300391459,0.08589042044271822,0.04375499014753137,0.04213543029518685,0.05638481071438184,0.0932833351404403,-0.036898524426058454,0.08589042044271822,0.04375499014753137,0.04213543029518685,0.20054435204521215,0.1937954739713219,0.006748878073890241,0.08589042044271822,0.04375499014753137,0.04213543029518685,0.2429720903740995,0.1899042327140823,0.053067857660017204
SP500,MTG,1996-07-19,0.10843801622517191,-0.00668325949149462,0.11512127571666653,0.09439097349188375,0.11553082103391388,-0.021139847542030132,0.036263106711227344,0.04916852289554585,-0.012905416184318508,0.2112449395061764,0.21053377181594835,0.0007111676902280539,0.16013853595516658,0.03677930470283308,0.1233592312523335,0.19355266332802712,0.19084202067704648,0.0027106426509806436,0.16013853595516658,0.03677930470283308,0.1233592312523335,0.5453592687747066,0.44421471446368566,0.10114455431102098
SP500,MBI,1996-12-03,0.28135011544211763,0.15397875941883044,0.1273713560232872,-0.03925250083090959,0.06738695962668872,-0.10663946045759831,0.33410666875243034,0.124110313991463,0.20999635476096734,0.0620749975848125,0.13847813325963143,-0.07640313567481893,0.4005516285962065,0.194254139792571,0.20629748880363552,0.12383232743707895,0.20718024449778416,-0.08334791706070521,0.4052359224397546,0.21882303314441232,0.18641288929534228,0.29916279430964043,0.310924777259763,-0.01176198295012254
SP500,TMO,1997-01-02,0.04100900730233814,0.05599744394734718,-0.01498843664500904,-0.23974786657470915,0.0027805782832577286,-0.24252844485796687,0.028037315426667986,0.13516415112781854,-0.10712683570115056,-0.15772854956680293,0.1911687959030408,-0.34889734546984374,0.029105467964508636,0.14978890081768004,-0.1206834328531714,-0.007886406758288778,0.2744675875533751,-0.28235399431166386,0.22843509033323928,0.19220366558683866,0.03623142474640062,0.08990525016502038,0.3034770528448585,-0.2135718026798381
SP500,AZO,1997-01-02,-0.09836065573770492,0.05599744394734718,-0.1543580996850521,-0.07291666666666663,0.0027805782832577286,-0.07569724494992436,-0.12698412698412698,0.13516415112781854,-0.2621482781119455,-0.01041666666666663,0.1911687959030408,-0.20158546256970744,-0.15708812260536398,0.14978890081768004,-0.306877023423044,0.31770833333333326,0.2744675875533751,0.04324074577995818,-0.04347826086956519,0.19220366558683866,-0.23568192645640385,0.20052083333333326,0.3034770528448585,-0.10295621951152523
SP500,EHC,1997-01-08,0.04983371511013224,0.08439267553506036,-0.03455896042492812,-0.012345666093333874,0.014930144923833266,-0.02727581101716714,0.18352018046361196,0.16564783983492481,0.017872340628687144,0.2623454044833442,0.20845206558952833,0.05389333889381587,0.06040250087937826,0.1723606467300416,-0.11195814585066333,0.3765430483888952,0.278439505211336,0.0981035431775592,0.4429221273994619,0.23591757384833145,0.20700455355113045,0.2623454044833442,0.266543046584659,-0.004197642101314791
SP500,PTC,1997-04-03,-0.24942791762013727,0.0027805782832577286,-0.252208495903395,-0.08587257617728528,0.19280907794637758,-0.27868165412366286,-0.23720930232558135,0.06649693847966454,-0.3037062408052459,-0.02216066481994461,0.2498746520416375,-0.2720353168615821,-0.03529411764705881,0.14952341712331108,-0.18481753477036988,0.026315789473684292,0.2578835530754582,-0.2315677636017739,0.07894736842105265,0.14366954285423938,-0.06472217443318673,0.47645429362880876,0.48132987862065546,-0.004875584991846704
SP500,ADBE,1997-05-06,0.3396958419252747,0.06682678055796498,0.2728690613673097,-0.17832415471622265,0.16512590848932107,-0.3434500632055437,0.3318183288314438,0.1410567582897173,0.1907615705417265,0.033537055288093365,0.12138005516377248,-0.08784299987567912,0.4251985651453052,0.254025084795636,0.17117348034966917,-0.16628610006424782,0.20188327305049625,-0.36816937311474407,0.154075366352173,0.2956882401814034,-0.14161287382923038,0.06692918063876618,0.3546995544004026,-0.2877703737616364
SP500,CAH,1997-05-27,-0.06974270428486817,0.051323151867981975,-0.12106585615285015,0.14568956420808266,0.08610610035279942,0.059583463855283236,0.04126221029596677,0.11890043518447446,-0.07763822488850769,0.3591484647040202,0.13677836885474481,0.22237009584927536,0.18716743107899658,0.29914575681198374,-0.11197832573298716,0.41099738548298226,0.22072441793055075,0.1902729675524315,0.35107663290794866,0.260030129430163,0.09104650347778565,0.5251903103754956,0.28920805011912587,0.2359822602563697
