Asset,Cumulative Return (%),Annualized Return (CAGR) (%),Annualized Volatility (%),Sharpe Ratio (Rf=0%),Sharpe Ratio (Rf=3%),Beta (vs S&P 500),Max Drawdown (%)
NASDAQ-20,3251.2690052891026,19.799593991779464,23.84954741696349,0.8301874096653334,0.7043988591511132,1.0715133510382762,-49.48717751354445
VGT,1963.7379655225325,16.848894135612614,23.56442009082752,0.7150141641792859,0.5877035837178659,1.0932720504614626,-54.6302126268981
S&P 500,418.8056096397539,8.837654595993616,19.743652522993564,0.4476200432367433,0.2956724744418517,1.0000000000000004,-56.77538774277288
