Quarter,Sell_Date,Ticker,Shares,Buy_Date,Buy_Price_USD,Sell_Price_USD,Holding_Days,Tax_Term,Gain_Loss_USD,Gain_Loss_Pct
1997Q2,1997-04-01,MSFT,11435.28435511126,1997-01-02,6.205007553100586,7.088719844818115,89,Short-Term,10105.50134389698,14.241921289458324
1997Q2,1997-04-01,INTC,2008.996706526741,1997-01-02,9.214554786682129,9.849492073059082,89,Short-Term,1275.5869171823251,6.890591038588573
1997Q3,1997-07-01,AAPL,4143.137350740144,1997-01-02,0.15716098248958588,0.09869375824928284,180,Short-Term,-242.23774054409907,-37.202124416712216
1997Q3,1997-07-01,QCOM,297.32150345372065,1997-01-02,1.4760503768920898,1.9352657794952393,180,Short-Term,136.53461391107402,31.111092804979613
1997Q3,1997-07-01,MSFT,9176.333211415767,1997-01-02,6.205007553100586,9.497559547424316,180,Short-Term,30213.55421582607,53.062820087599604
1997Q3,1997-07-01,CTAS,112.87409776679488,1997-01-02,3.451033115386963,4.0743279457092285,180,Short-Term,70.35384161533324,18.061108354573868
1997Q3,1997-07-01,PCAR,148.45940498412892,1997-01-02,1.5657572746276855,2.2425711154937744,180,Short-Term,100.47938010000247,43.22597453855199
1997Q3,1997-07-01,SNPS,54.014156346589516,1997-01-02,22.875,17.875,180,Short-Term,-270.0707817329476,-21.85792349726776
1997Q3,1997-07-01,COST,125.10036504282834,1997-01-02,8.119316101074219,10.825759887695312,180,Short-Term,338.57710567419343,33.33339597731661
1997Q3,1997-07-01,ADTN,22.848649780735286,1997-01-02,13.866326332092285,7.902979850769043,180,Short-Term,-136.25441527293484,-43.0059580201978
1997Q3,1997-07-01,KLAC,368.48549275287223,1997-01-02,0.8969790935516357,1.3676059246063232,180,Short-Term,173.41915974390926,52.46798219022206
1997Q3,1997-07-01,ORCL,812.5483570919023,1997-01-02,3.718197822570801,4.299167156219482,180,Short-Term,472.0656775770135,15.62502484730609
1997Q3,1997-07-01,SUNW,2429.5691552723583,1997-01-02,26.749864608389256,36.56254565777337,180,Short-Term,23840.587208109242,36.6831054775009
1997Q3,1997-07-01,ADBE,112.13026339929274,1997-01-02,4.734611511230469,4.270029544830322,180,Short-Term,-52.0936982630098,-9.812462232606856
1997Q3,1997-07-01,AMAT,223.96699374655145,1997-01-02,3.183889389038086,6.610527992248535,180,Short-Term,767.4539466169265,107.62429797367122
1997Q3,1997-07-01,NXTL,321.55405394387344,1997-01-02,13.62512115378966,19.687323695570438,180,Short-Term,1949.3258031384628,44.49283403321996
1997Q3,1997-07-01,AMGN,152.24561238338356,1997-01-02,9.167703628540039,9.492877006530762,180,Short-Term,49.506220062971025,3.546944700289212
1997Q3,1997-07-01,PAYX,101.06981348451882,1997-01-02,4.620729446411133,5.410804271697998,180,Short-Term,79.85271523055727,17.09848703434708
1997Q3,1997-07-01,CSCO,1111.8342318429204,1997-01-02,4.496011257171631,4.884831428527832,180,Short-Term,432.3035765448546,8.648113830586842
1997Q3,1997-07-01,WCOEQ,92.50338463447406,1997-01-02,26.499969498811467,31.875039603131412,180,Short-Term,497.2121772971705,20.283306758375776
1997Q3,1997-07-01,SBUX,321.4965061538969,1997-01-02,1.2794575691223145,1.783748745918274,180,Short-Term,162.1278514241381,39.414451011602864
1997Q4,1997-10-01,INTC,8725.595612827718,1997-01-02,9.214554786682129,13.194684028625488,272,Short-Term,34728.99825198828,43.19393974080953
1997Q4,1997-10-01,SUNW,143.89042791172687,1997-01-02,26.749864608389256,45.375069880794754,272,Short-Term,2679.9887565901786,69.6272880071486
1997Q4,1997-10-01,NXTL,3021.0373642355407,1997-01-02,13.62512115378966,28.25013241429298,272,Short-Term,44182.70547034605,107.3385777302652
1998Q1,1998-01-02,AAPL,19329.061656525824,1997-01-02,0.15716098248958588,0.12161245197057724,365,Short-Term,-687.1197382008079,-22.619183181400782
1998Q1,1998-01-02,QCOM,1387.0999644849726,1997-01-02,1.4760503768920898,1.942293405532837,365,Short-Term,646.7256884689464,31.587202980324353
1998Q1,1998-01-02,MSFT,13419.191969314707,1997-01-02,6.205007553100586,9.967923164367676,365,Short-Term,50495.286951924274,60.64320758782631
1998Q1,1998-01-02,CTAS,526.5937888275439,1997-01-02,3.451033115386963,4.828834533691406,365,Short-Term,725.5416691169005,39.92431750832246
1998Q1,1998-01-02,PCAR,692.6106352512652,1997-01-02,1.5657572746276855,2.5312893390655518,365,Short-Term,668.7377765057761,61.66550078251789
1998Q1,1998-01-02,SNPS,251.99332533880988,1997-01-02,22.875,17.53125,365,Short-Term,-1346.5893322792654,-23.36065573770492
1998Q1,1998-01-02,COST,583.6332384043963,1997-01-02,8.119316101074219,14.656405448913574,365,Short-Term,3815.262625818366,80.51280756238167
1998Q1,1998-01-02,ADTN,106.59626340925115,1997-01-02,13.866326332092285,9.347390174865723,365,Short-Term,-481.70170894531185,-32.58928175350898
